sheet,participant,condition,n_samples,fs_hz,logged_duration_s,window_method,turn_time_s,turn_peak_gyro_mag,onset_s,offset_s,detected_duration_s,duration_diff_s,window_clipped,bout_onset_s,bout_offset_s,bout_duration_s,bout_duration_diff_s,n_bouts,trial_notes
SWEAT_001DTGTRIAL,SWEAT-001,DTG_TRIAL,2305,100.0,23.0,turn_anchored,16.43,41.72476484888912,4.93,23.04,18.11,-4.890000000000001,True,11.85,22.15,10.3,-12.7,2,"Test 1 - trial 2 - hands off hips, repeated rep and that one recorded = 21 seconds"
SWEAT_001DTG1,SWEAT-001,DTG1,2142,100.0,21.0,turn_anchored,8.58,217.07008966849762,0.0,19.08,19.08,-1.9200000000000017,True,0.03,19.47,19.44,-1.5599999999999987,2,"Test 1 - trial 2 - hands off hips, repeated rep and that one recorded = 21 seconds"
SWEAT_001DTG2,SWEAT-001,DTG2,1883,100.0,19.0,turn_anchored,8.71,235.326154802999,0.0,18.21,18.21,-0.7899999999999991,True,0.28,17.88,17.6,-1.3999999999999986,1,"Test 1 - trial 2 - hands off hips, repeated rep and that one recorded = 21 seconds"
SWEAT_001DTG3,SWEAT-001,DTG3,1506,100.0,17.0,turn_anchored,9.41,36.72778419174042,0.91,15.05,14.14,-2.8599999999999994,True,6.76,14.53,7.77,-9.23,2,"Test 1 - trial 2 - hands off hips, repeated rep and that one recorded = 21 seconds"
SWEAT_002DTGTRIAL,SWEAT-002,DTG_TRIAL,2260,100.0,22.0,turn_anchored,11.96,157.213016441798,0.96,22.59,21.63,-0.370000000000001,True,0.44,22.59,22.15,0.14999999999999858,1,Test 3 - opted out
SWEAT_002DTG1,SWEAT-002,DTG1,2142,100.0,21.0,turn_anchored,10.22,184.347993908231,0.0,20.72,20.72,-0.28000000000000114,True,0.28,19.72,19.44,-1.5599999999999987,2,Test 3 - opted out
SWEAT_002DTG2,SWEAT-002,DTG2,3858,100.0,19.0,turn_anchored,17.27,201.19878484898808,7.77,26.77,19.0,0.0,False,5.78,34.69,28.91,9.91,3,Test 3 - opted out
SWEAT_003DTGTRIAL,SWEAT-003,DTG_TRIAL,1576,100.0,14.0,turn_anchored,7.13,315.92904692346514,0.13,14.13,14.0,0.0,False,0.53,14.38,13.85,-0.15000000000000036,1,
SWEAT_003DTG1,SWEAT-003,DTG1,1555,100.0,15.0,turn_anchored,6.44,241.35170924764998,0.0,13.94,13.94,-1.0600000000000005,True,0.0,11.4,11.4,-3.5999999999999996,2,
SWEAT_003DTG2,SWEAT-003,DTG2,2986,100.0,17.0,turn_anchored,16.18,284.6292201931285,7.68,24.68,17.0,0.0,False,6.51,29.85,23.34,6.34,1,
SWEAT_003DTG3,SWEAT-003,DTG3,3172,100.0,15.0,turn_anchored,16.94,216.72034263937795,9.44,24.44,15.0,0.0,False,9.43,31.71,22.28,7.280000000000001,3,
SWEAT_004DTGTRIAL,SWEAT-004,DTG_TRIAL,2186,100.0,22.0,turn_anchored,9.14,356.5083127067317,0.0,20.14,20.14,-1.8599999999999994,True,0.09,11.99,11.9,-10.1,3,Test 3 - opted out
SWEAT_004DTG1,SWEAT-004,DTG1,2129,100.0,22.0,turn_anchored,9.55,318.82758195060427,0.0,20.55,20.55,-1.4499999999999993,True,0.0,19.39,19.39,-2.6099999999999994,1,Test 3 - opted out
